filing_year,place,eviction_filings_total,eviction_filings_rate,eviction_filings_sealed,eviction_filings_unclear,eviction_filings_completed,case_type_single_action,case_type_joint_action,back_rent_median,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,landlord_prose,landlord_represented,tenant_prose,tenant_represented,tenant_rep_pa,tenant_rep_laa,eviction_order_yes,eviction_order_no,eviction_order_yes_tenant_prose,eviction_order_no_tenant_prose,eviction_order_yes_tenant_represented,eviction_order_no_tenant_represented,eviction_order_yes_tenant_rep_pa,eviction_order_no_tenant_rep_pa,eviction_order_yes_tenant_rep_laa,eviction_order_no_tenant_rep_laa,ftu_eviction_order,ftu_other_outcome,ftu_no_outcome,ftu_eviction_order_tenant_prose,ftu_other_outcome_tenant_prose,ftu_no_outcome_tenant_prose,ftu_eviction_order_tenant_represented,ftu_other_outcome_tenant_represented,ftu_no_outcome_tenant_represented,default_eviction_order_yes,default_eviction_order_no,default_eviction_order_yes_tenant_prose,default_eviction_order_no_tenant_prose,default_eviction_order_yes_tenant_represented,default_eviction_order_no_tenant_represented
2010,Chicago,24390,4.12,1118,214,23058,4366,18692,1956.52,4268,3729,8031,4887,2143,5540,17518,20659,2399,1756,643,13838,9220,12766,7893,1072,1327,947,809,125,518,8592,2569,11897,8427,2527,9705,165,42,2192,3305,19753,3208,17451,97,2302
2011,Chicago,25334,4.24,880,251,24203,4674,19529,1988.0,4518,3808,8387,4997,2493,5686,18517,21573,2630,1946,684,14581,9622,13410,8163,1171,1459,1041,905,130,554,8638,2214,13351,8501,2159,10913,137,55,2438,3617,20586,3495,18078,122,2508
2012,Chicago,26389,4.39,1385,242,24762,4712,20050,1872.0,4657,3809,9184,4833,2279,5385,19377,22284,2478,1901,577,15227,9535,14150,8134,1077,1401,960,941,117,460,9082,2280,13400,8969,2242,11073,113,38,2327,4859,19903,4724,17560,135,2343
2013,Chicago,25201,4.16,1672,234,23295,4541,18754,1850.0,4447,3637,8611,4426,2174,4929,18366,20703,2592,2000,592,14520,8775,13309,7394,1211,1381,1077,923,134,458,8375,2188,12732,8223,2145,10335,152,43,2397,1910,21385,1845,18858,65,2527
2014,Chicago,24507,4.02,2657,184,21666,3839,17827,1889.83,3787,3345,8090,4358,2086,4320,17346,19455,2211,1754,457,13062,8604,12161,7294,901,1310,790,964,111,346,7425,2334,11907,7319,2299,9837,106,35,2070,1709,19957,1647,17808,62,2149
2015,Chicago,23356,3.8,3629,163,19564,3133,16431,1871.4,3104,3125,7440,3936,1959,3637,15927,17229,2335,1990,345,11754,7810,10735,6494,1019,1316,928,1062,91,254,6281,2512,10771,6152,2466,8611,129,46,2160,2270,17294,2194,15035,76,2259
2016,Chicago,20439,3.31,3266,141,17032,2618,14414,2027.25,2563,2313,6483,3790,1883,2858,14174,14993,2039,1799,240,10149,6883,9172,5821,977,1062,916,883,61,179,5209,2669,9154,5101,2631,7261,108,38,1893,2436,14596,2349,12644,87,1952
2017,Chicago,19529,3.14,2400,152,16977,2641,14336,2180.0,2570,1884,6353,4175,1995,2675,14302,14893,2084,1824,260,10002,6975,8995,5898,1007,1077,937,887,70,190,4923,2641,9413,4802,2598,7493,121,43,1920,2313,14664,2229,12664,84,2000
2018,Chicago,18345,2.93,2200,154,15991,2310,13681,2229.88,2855,1601,5754,3823,1958,2187,13804,14047,1944,1689,255,9571,6420,8555,5492,1016,928,949,740,67,188,4045,2500,9446,3952,2469,7626,93,31,1820,3037,12954,2929,11118,108,1836
2019,Chicago,18220,2.89,2161,475,15584,3302,12282,2389.59,3348,1346,5115,3777,1998,2062,13522,13962,1622,1405,217,9162,6422,8312,5650,850,772,785,620,65,152,3390,2280,9914,3312,2261,8389,78,19,1525,3831,11753,3671,10291,160,1462
